Servo,Weight(g),Torque(kg)(min. 0.01kg),Speed (Sec/60deg),A(mm),B(mm),C(mm),D(mm),E(mm),F(mm)
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-torque-servo-mg-10kg-0-10sec-52g.html,75,10,0.1,44,40,40,20,55,29
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5-6kg-0-04sec-58g.html,75,5.6,0.04,44,41,40,20,55,30
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-speed-servo-mg-5-60kg-0-04sec-61g.html,75,5.6,0.04,45,40,41,21,55,30
https://hobbyking.com/en_us/hobbykingtm-mi-digital-high-torque-servo-mg-11-8kg-0-07sec-61g.html,75,11.8,0.07,44,40,10,21,55,30
https://hobbyking.com/en_us/turnigytm-tgy-210dmh-coreless-w-heat-sink-ds-mg-servo-3-9kg-0-13sec-16g.html,76,3.9,0.13,29,23,26,12,33,20
https://hobbyking.com/en_us/turnigytm-tgy-212dmh-coreless-ds-mg-servo-w-heat-sink-1-4kg-0-05sec-16g.html,76,1.4,0.05,29,23,26,12,33,20
https://hobbyking.com/en_us/sm-s4408m-h-d-servo-51g-8-6kg-11-sec.html,78,8.6,0.11,33,41,28,20,54,19
https://hobbyking.com/en_us/bms-631mg-super-fast-servo-metal-gear-5-0kg-10sec-46g.html,78,6.2,0.08,41,41,37.5,20,54,27
https://hobbyking.com/en_us/bms-621mg-high-speed-servo-metal-gear-6-4kg-13sec-47g.html,79,7.2,0.1,42,41,37.92,20,54,27
https://hobbyking.com/en_us/digital-high-torque-bearing-servo-42g-6-5kg-14sec.html,79,6.5,0.14,45,40,41,20,56,28
https://hobbyking.com/en_us/sail-winch-servo-13kg-0-7sec-360deg-55g.html,80,13,0.7,44,41,40,20,58,27
https://hobbyking.com/en_us/bms-a206-mg-digital-mini-servo-3-2kg-0-05sec-22-5g.html,82,3.2,0.05,31,23,27,12,33,20
https://hobbyking.com/en_us/trackstar-ts-p12s-high-speed-digital-1-12-scale-pan-car-steering-servo-3-6kg-0-05sec-28g.html,83,3.6,0.05,33,36,29,15,48,19
https://hobbyking.com/en_us/corona-ds-236mg-metal-gear-servo-7-0kg-0-12sec-27g.html,84,7,0.12,37,28,33,14.2,40,22
https://hobbyking.com/en_us/power-hd-ar-1201mg-robot-servo.html,85,13.5,0.2,43,40,39,20,54,27
https://hobbyking.com/en_us/bms-965dmg-coreless-digital-metal-gear-high-torque-servo-5-7kg-11sec-29-5g.html,89,5.7,0.11,33,36,29,15,50,17
https://hobbyking.com/en_us/hobbykingtm-hk15298-high-voltage-coreless-digital-servo-mg-bb-15kg-0-11sec-66g.html,91,15,0.11,42,40,39,20,55,29
https://hobbyking.com/en_us/hobbykingtm-mi-digital-servo-hv-mg-11-8kg-0-06sec-61g.html,92,11.8,0.06,44,40,40,20.5,55,30
https://hobbyking.com/en_us/turnigytm-tgy-9150mg-ds-mg-servo-15-8kg-0-17sec-60g.html,97,15.8,0.17,47,40,42,20,55,32
https://hobbyking.com/en_us/ssv-9784mg-heatsink-servo-53g-13-6kg-13sec.html,99,13.6,0.13,50,40,46,19,52,34
https://hobbyking.com/en_us/bms-988dmh-servo-high-performance-digital-30-5g-0-11-sec-4-6-kgs.html,100,4.6,0.11,34,36,30,15,49,18
https://hobbyking.com/en_us/rjx-fs-0390hv-hi-torque-mini-servo-12-3kg-45g-0-053sec.html,101,12.3,0.05,38,36,33,15,48,21
https://hobbyking.com/en_us/turnigytm-1268hv-titanium-bb-ds-mg-servo-16kg-0-12sec-57g.html,102,16,0.12,45,41,41,20,53,28
